scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,n_reps_used,converged,converged_cost,converged_duration
5,2049.01,2,37.05,10,50.01,2,0.01,75.47,59.41,0.01,149.9,212.4,53.55,0.0,0.0,54721.85838021608,547.2604586371034,5,True,True,True
17,2121.13,3,39.28,3,58.65,1,0.01,77.95,202.06,0.01,25.93,112.02,100.12,0.0,0.0,56187.503561003505,790.6475527679586,5,True,True,True
10,2320.8,4,53.49,4,35.67,2,0.01,110.82,260.12,0.01,144.57,255.98,66.62,0.0,0.0,56230.1551774312,1060.1845056235875,7,True,True,True
