scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
2247,701.13,3,26.27,4,62.39,2,0.01,97.55,149.22,0.01,135.55,85.26,96.48,41499.00513101324,506.65505268655573,66662.71303506123,1007.62712880975,124983.6755901417,1684.0878726424298,5,True,True,True,True
2309,2004.69,4,12.12,9,93.22,2,0.01,31.57,225.79,0.01,52.57,133.7,79.2,18162.630441348454,367.2445877621862,56185.39848490275,668.1847622962639,110690.04698941269,1357.8645406662351,8,True,True,True,True
2303,1420.6,7,34.3,3,74.51,1,0.01,25.86,220.65,0.01,125.88,178.0,94.91,35988.823159535925,795.843276969214,56701.846537626596,959.0271649032643,110872.11483952527,1916.228279090787,8,True,True,True,True
2306,2306.86,5,61.31,4,40.61,2,0.01,131.36,258.17,0.01,85.76,279.55,119.21,33608.56658629041,517.0551522463594,56772.81112960117,1466.4826600158592,111105.26212706899,2841.5885791735154,10,True,True,True,True
2310,2026.8,5,43.26,2,97.22,2,0.01,72.09,225.61,0.01,38.0,203.39,74.49,36085.91791341655,632.2177379548535,57288.398613736936,864.6388568428233,111728.06435434039,1669.7038276925496,6,True,True,True,True
2301,1928.48,3,32.72,11,117.83,2,0.01,134.67,283.5,0.01,30.13,125.06,137.77,33196.97149234935,850.6275019150039,59444.677003941186,1272.2810284720783,115259.896933381,2526.6364604588207,9,True,True,True,True
2312,1464.12,12,23.76,11,77.16,2,0.01,124.54,184.07,0.01,137.18,234.38,92.26,40622.52438730792,475.3374694606276,55561.89320370092,872.8634463153916,109677.89335883112,1749.7471586953127,6,True,True,True,True
2255,704.13,6,56.36,9,25.37,2,0.01,86.97,242.93,0.01,29.41,195.83,145.91,72159.23106700489,527.0944338500071,59268.16348400295,1013.259883877973,114741.52806414582,1986.1989688801757,6,True,True,True,True
2290,739.42,10,11.55,7,95.06,2,0.01,33.88,72.59,0.01,118.14,290.49,117.52,93840.53141704001,588.439264759527,57285.90419337504,449.1157083385679,111176.27718010964,863.6991685557934,5,True,True,True,True
2296,1355.15,3,10.11,10,32.28,1,0.01,141.19,277.47,0.01,86.12,278.02,106.94,21774.098016262353,298.5206915282993,61643.38323976478,947.5578898934323,117966.00601601756,1688.7816652134372,5,True,True,True,True
2299,829.4,9,53.08,7,96.14,1,0.01,105.93,195.67,0.01,113.07,265.53,46.87,113932.81975258782,823.0606275698515,57028.26134114877,564.2283777563832,111309.51482047087,1056.6845586652694,5,True,True,True,True
2316,2194.2,7,17.95,7,37.5,1,0.01,31.3,289.82,0.01,122.36,251.97,61.34,15880.221346251672,238.36711678172955,55945.633182783764,1054.645878564477,110249.30797631589,2073.7366031970378,6,True,True,True,True
2313,1201.29,8,28.14,7,109.44,2,0.01,139.52,69.76,0.01,110.9,107.84,109.61,36648.26324513429,437.72727649915214,55045.6308382828,580.8518474778327,108916.1461353976,1132.3698951016906,5,True,True,True,True
2319,2302.14,10,52.04,11,63.76,1,0.01,67.93,243.52,0.01,27.37,52.39,39.0,18372.329121468294,237.57293540900736,55445.04677747566,963.0129489710714,110008.5993903523,1938.6481608834827,6,True,True,True,True
2291,832.87,8,17.63,3,64.48,2,0.01,71.92,259.95,0.01,72.35,150.65,72.64,43122.976577516216,414.76630886254156,59273.952667748694,893.9875816013968,114903.33005819326,1716.7088330069755,5,True,True,True,True
2293,967.84,4,41.58,4,71.16,2,0.01,144.34,200.13,0.01,109.69,63.15,102.24,45010.45145177122,257.8079212632066,60436.04409389215,548.6483699869354,116900.18234374691,1039.6833659012134,5,True,True,True,True
2318,1817.08,9,49.44,6,102.75,1,0.01,109.8,160.05,0.01,59.52,123.42,46.96,32254.499685264258,360.1123482631977,55601.19620395443,1260.724956637335,110271.14865705956,2552.547100856349,8,True,True,True,True
2328,2313.08,2,55.57,4,105.33,1,0.01,137.78,58.87,0.01,81.57,250.11,140.63,36795.808044289224,445.98294738903036,57201.05607724297,1324.247209133012,112064.45309200532,2590.464070520757,8,True,True,True,True
2305,890.81,11,25.07,10,74.48,1,0.01,87.37,166.09,0.01,40.03,51.94,108.29,26267.30616991917,410.6543312412952,55425.88151686601,470.2848341925113,109660.01922820961,931.4835188955849,6,True,True,True,True
2324,2212.79,6,48.09,3,119.88,2,0.01,76.24,194.15,0.01,105.21,286.86,114.96,49895.46380352928,974.5329051861571,56310.68499955333,849.022517983862,109802.6892415342,1633.7905113308884,7,True,True,True,True
2322,1468.84,5,47.0,5,27.07,1,0.01,129.85,87.66,0.01,114.59,79.1,137.27,18860.405615563537,265.4619069579007,55556.221278277946,980.9358049339133,109732.0958922523,1945.9238590625828,6,True,True,True,True
2317,2141.36,4,57.45,4,84.01,2,0.01,60.75,218.84,0.01,48.78,169.06,74.32,31292.31194360673,413.3404811806694,56024.174690762826,1602.4597114905023,110264.81325699978,3179.56804757525,12,True,True,True,True
2326,2192.96,10,55.17,11,89.88,2,0.01,149.32,295.15,0.01,53.63,80.88,36.85,32394.699163206416,574.5556354861666,55161.144234283965,990.6777337068336,109076.11028435822,1896.0262335998605,6,True,True,True,True
2327,1865.84,3,30.68,12,64.78,1,0.01,41.79,153.85,0.01,43.16,54.17,107.72,11534.65538623584,207.7832544624279,56421.78923342989,1054.3996344747989,111354.62248474883,2028.4440214389606,7,True,True,True,True
2321,1183.64,9,29.09,2,95.19,2,0.01,32.18,184.01,0.01,112.32,76.8,56.04,28938.790471906716,431.1649398520362,56223.09562847139,796.9679457314417,110434.53444309237,1527.4290172693586,5,True,True,True,True
2331,2183.83,7,50.58,10,48.32,2,0.01,59.91,194.48,0.01,30.71,85.0,82.78,16887.829773977155,333.32856601373174,54467.286229998404,870.6180324264293,107941.3065407185,1710.9084922281004,7,True,True,True,True
