scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
17,1060.57,1,39.28,2,58.65,1,0.01,779.49,2020.58,0.01,259.26,1120.18,1001.22,17.339083567388272,21.790959520642144,85222.29090646547,21434.071917887937,153159.5278053445,41730.0094880058,100,False,False,False,False
5,1024.5,1,37.05,7,50.01,2,0.01,754.68,594.09,0.01,1498.96,2123.97,535.48,28.66539954816209,34.184480491339755,96461.07819709838,35077.71986605648,179354.30821894924,69638.42022024865,100,False,False,False,False
10,1160.4,3,53.49,2,35.67,2,0.01,1108.19,2601.2,0.01,1445.73,2559.84,666.15,68.44011802333381,75.93947658236239,180647.14652657334,35351.76423812656,244709.19079389717,49166.30354823226,100,False,False,False,False
13,1078.32,7,52.58,7,47.45,1,0.01,1013.38,486.63,0.01,1480.85,1201.47,1265.21,206.8837601342547,230.52921877143638,73540.02648279587,5861.395512359133,134113.91661203268,10180.520658599404,100,False,True,False,True
