scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
11549,1708.78,2,35.4,9,85.03,1,0.01,105.05,93.97,0.01,92.26,242.15,90.65,37806.848976390625,429.35690413754105,57955.44150285814,816.0258601187252,113074.73343723391,1608.843280473338,5,True,True,True,True
11532,659.04,8,18.9,5,66.09,1,0.01,64.33,276.78,0.01,106.75,162.9,42.91,61753.77541229421,541.5276268695842,58803.002335310644,628.0581531061428,114212.30218410915,1202.7789387816604,5,True,True,True,True
11544,950.09,11,14.47,11,81.6,1,0.01,66.82,146.34,0.01,123.61,279.65,86.42,64756.84710420925,880.464004779922,56072.58184572543,1233.951497405832,110361.74056353302,2453.822761882899,8,True,True,True,True
11545,797.94,8,38.81,12,77.89,2,0.01,144.15,132.8,0.01,44.25,202.76,109.86,73881.99748532168,1159.532434783759,56692.46028474763,587.6156498927596,111226.33145543048,1139.940497687124,5,True,True,True,True
11547,664.63,8,52.99,5,90.26,1,0.01,66.61,50.41,0.01,48.19,176.88,35.11,75716.06706701967,518.5437183821244,56840.856539015,208.68286664113484,111130.83407862231,441.3751658441954,5,True,True,True,True
11548,1184.56,5,55.52,11,88.26,1,0.01,85.49,223.79,0.01,24.59,133.09,43.2,52994.08282934318,817.0847099446243,57858.671156054224,654.1422349399016,113427.63834078191,1300.2637473545406,6,True,True,True,True
11552,1847.32,11,22.73,7,86.88,1,0.01,27.94,74.98,0.01,46.37,271.78,73.05,31576.966394275012,701.6097023723065,55440.2783901606,1127.6108336430646,109571.67263018661,2206.4887520411726,8,True,True,True,True
11554,2389.21,12,16.22,10,84.27,2,0.01,41.77,117.87,0.01,45.99,203.59,103.65,18807.801845767033,356.77274893903683,54557.17351110949,1082.9285543807805,108118.37647653626,2210.4505408902173,7,True,True,True,True
11553,1474.95,2,17.23,11,113.87,2,0.01,106.53,101.36,0.01,135.45,64.06,70.79,20911.72270635668,183.6733221722691,58524.64295920986,797.6872310686526,114141.78553449223,1580.903802319475,5,True,True,True,True
11551,911.83,6,49.69,5,85.83,1,0.01,93.16,57.33,0.01,122.32,115.32,87.2,46631.68014037207,663.6526432813058,56599.64610248544,877.3770975019792,111744.14513038866,1735.907666894016,6,True,True,True,True
11555,1344.69,8,43.21,10,56.13,1,0.01,43.96,154.25,0.01,26.54,115.67,46.67,24624.048248419935,417.09659315713225,55035.24903473822,782.5338617715441,109147.44202639571,1604.7082981023061,6,True,True,True,True
11557,2373.98,11,14.3,11,116.58,2,0.01,140.02,282.95,0.01,51.09,168.52,75.97,24690.712617598314,639.602400563575,55415.89802918068,1362.537489529678,109446.21317147173,2679.3724927099065,9,True,True,True,True
11560,1842.17,2,38.82,2,123.88,2,0.01,24.67,121.03,0.01,117.56,80.47,72.36,21891.108198298276,421.7986102843271,56666.03775144024,898.053984825815,111607.91766853236,1768.2673358958334,7,True,True,True,True
11550,824.54,11,59.91,3,97.45,2,0.01,47.5,283.44,0.01,149.01,112.27,121.68,88345.06868255719,997.2870221912822,56782.77596496424,710.0820440007059,110548.90832091201,1334.5242632043798,5,True,True,True,True
11563,2306.29,9,17.03,8,103.46,2,0.01,46.29,173.98,0.01,110.53,141.83,92.57,19762.93103215464,425.0397036759074,55381.42118330292,1034.1221654034161,109773.70504217292,2079.592299343799,7,True,True,True,True
11561,1585.43,12,46.72,11,27.88,1,0.01,83.64,198.1,0.01,81.01,196.6,111.89,25957.054427912368,537.7880658716659,54671.20727758804,1361.0246215296577,108066.55208798264,2700.7059956336507,9,True,True,True,True
11564,1936.91,9,12.6,8,21.31,2,0.01,45.52,250.71,0.01,65.46,49.71,51.85,5605.840541048291,90.04026490025316,55513.27885829943,1078.2038013078388,110069.81738427164,2153.826861432733,7,True,True,True,True
11427,627.58,11,21.79,2,70.73,1,0.01,82.62,50.33,0.01,137.87,259.91,144.81,80425.99559865483,767.4922435765076,131825.51118132976,19270.253625798607,185945.3282168876,19498.750099022207,15,False,False,True,False
11565,1562.09,9,17.4,3,123.19,2,0.01,28.99,245.38,0.01,92.31,78.53,118.06,23036.14869956631,278.8022527631492,55287.21788512883,790.395439171777,109203.06721063786,1620.5213087997681,6,True,True,True,True
11556,1316.51,4,60.74,6,123.55,2,0.01,144.95,249.21,0.01,136.91,189.22,98.01,83338.60495986018,1760.988421148895,59099.594678138434,1000.2332788178267,114474.2264361208,1981.208138804069,7,True,True,True,True
11569,2130.87,12,36.23,2,91.39,1,0.01,130.84,204.6,0.01,52.4,201.13,58.74,32091.61720246917,499.16358718885874,54893.53350658303,868.6956155565273,106915.83679226898,1647.5026966188025,5,True,True,True,True
11566,949.7,7,46.31,6,107.29,2,0.01,24.0,140.56,0.01,26.79,92.55,104.68,41265.02548597491,539.6781790399879,55252.0340654565,855.785944820335,109313.64639182562,1666.8486249640553,6,True,True,True,True
11558,715.46,10,59.62,6,24.75,2,0.01,73.63,223.59,0.01,62.82,55.1,80.46,57802.18441366715,475.4217460766787,57196.18750422186,652.2821294601383,112486.09272115913,1246.5001215185464,5,True,True,True,True
11568,1588.15,4,29.57,10,30.32,1,0.01,104.7,267.92,0.01,45.75,199.82,124.76,23311.626360595215,193.15959967194624,57987.36768798258,1182.2210492808367,112978.57568601336,2312.197524968054,7,True,True,True,True
11567,765.87,7,58.14,8,92.28,1,0.01,66.82,63.44,0.01,114.14,268.19,26.27,98409.7063030707,1546.9729561246668,56516.45086951503,267.9110539607764,110797.37784911036,610.4144008976348,5,True,True,True,True
11572,1857.61,3,42.55,7,78.01,2,0.01,40.24,227.65,0.01,103.39,233.52,103.09,36586.791556838,785.3326077602094,57651.66339386862,1451.109223567577,112675.25314893537,2884.772587236473,9,True,True,True,True
