scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_cycle_time,kpi_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
196,2187.68,5,48.18,6,117.26,2,0.01,33.8,140.77,0.01,145.49,282.42,128.56,45010.52443297329,17612.73818553128,34072.245654099854,7,True,True,True,True
197,2282.22,11,51.98,10,79.98,2,0.01,147.83,53.56,0.01,40.11,263.15,34.36,30705.427126417035,17074.61372746686,33272.06565296664,9,True,True,True,True
198,2037.45,12,14.59,11,79.79,2,0.01,81.79,93.45,0.01,141.82,208.2,62.57,22905.114363405537,17085.849967508304,33410.552676533065,10,True,True,True,True
199,1813.09,12,13.97,8,34.06,2,0.01,56.36,65.59,0.01,61.96,290.3,140.16,14615.615172926726,17302.458571127798,33645.07313550111,8,True,True,True,True
201,2383.32,3,35.64,7,82.16,2,0.01,43.07,184.78,0.01,144.66,175.59,94.42,22877.16246647983,17917.66828551859,34525.072102429636,8,True,True,True,True
200,1764.3,4,11.57,9,38.67,2,0.01,90.39,142.31,0.01,70.62,138.09,54.44,10600.934033674825,17697.370815613933,34280.555213328335,8,True,True,True,True
203,2005.7,12,14.59,5,44.25,2,0.01,101.9,158.72,0.01,135.41,95.24,39.11,9834.951149946037,16945.451225341265,33262.3517066874,7,True,True,True,True
182,898.76,2,34.94,5,51.27,2,0.01,95.97,111.31,0.01,146.86,68.59,57.2,29462.818255138358,25148.787764550176,44101.83412763117,15,True,True,True,True
205,2234.73,7,53.21,4,39.99,1,0.01,82.29,71.73,0.01,145.91,274.29,100.57,19542.21888766601,17366.064086899347,33678.42228417652,6,True,True,True,True
202,1223.32,6,52.83,6,92.19,1,0.01,95.0,258.86,0.01,139.23,127.48,122.06,58361.62026770861,18434.047210210516,35080.679623592965,5,True,True,True,True
204,1565.58,11,42.48,10,43.59,1,0.01,31.41,116.58,0.01,120.21,155.89,30.59,19427.09909325587,16963.064116209236,33263.72889666392,9,True,True,True,True
206,2151.62,9,62.35,6,53.79,2,0.01,130.85,264.84,0.01,133.55,246.78,144.01,39119.765318820646,17841.415491104417,34272.98163549895,8,True,True,True,True
208,2317.6,11,20.9,9,77.51,2,0.01,130.97,286.33,0.01,42.72,198.96,138.75,23318.171610610447,17265.893190301522,33260.449721870325,6,True,True,True,True
210,1899.38,8,31.79,9,84.76,1,0.01,75.85,164.26,0.01,102.62,124.49,142.18,22821.60504948687,16970.849944507125,33066.21014109563,6,True,True,True,True
207,1097.26,4,56.4,7,80.42,2,0.01,130.07,120.07,0.01,149.85,171.5,97.86,59913.50850077284,18936.460900171398,35999.9892291135,6,True,True,True,True
209,1113.08,8,46.04,8,21.14,2,0.01,119.6,226.91,0.01,67.6,260.79,142.95,41848.80283233249,18177.165041919594,34595.67933938434,6,True,True,True,True
212,1630.6,10,35.32,5,102.57,2,0.01,149.37,207.96,0.01,118.17,254.25,149.55,55174.501675282365,17873.061989169317,34285.55345316596,7,True,True,True,True
213,1771.55,6,31.24,9,61.63,2,0.01,130.64,69.66,0.01,30.27,295.48,125.08,30644.052330644114,17552.54400913567,33966.965735165235,7,True,True,True,True
211,1404.08,2,21.01,6,87.5,2,0.01,141.13,190.21,0.01,103.84,218.89,43.76,43511.108437264935,26350.9602565216,45264.96256721739,5,True,True,True,True
216,2255.53,4,28.45,10,82.56,1,0.01,93.24,165.08,0.01,36.82,137.17,79.8,18854.378936352856,17428.8468341431,33804.533640751586,8,True,True,True,True
215,2239.73,4,62.21,2,109.51,1,0.01,81.34,194.08,0.01,65.94,129.17,52.93,31317.68097001874,17824.84270601283,34466.22157223984,10,True,True,True,True
217,2145.44,12,48.38,9,88.93,1,0.01,108.86,228.39,0.01,24.44,287.55,113.81,42773.450911475826,17288.20772804773,33346.01756977032,7,True,True,True,True
218,2364.89,11,51.95,8,86.91,2,0.01,50.24,78.6,0.01,77.49,258.72,85.72,28544.79549827885,17032.274678246482,33241.191522363064,11,True,True,True,True
219,1838.57,9,52.65,5,123.68,2,0.01,29.15,91.23,0.01,56.31,170.66,27.03,34056.06265371107,17098.510542843338,33558.87923345199,7,True,True,True,True
195,661.83,3,51.14,2,51.59,2,0.01,44.93,211.5,0.01,104.59,141.19,24.34,69490.21043471259,34753.681749424395,54951.866454248906,7,True,True,True,True
220,2203.16,8,57.05,3,116.31,2,0.01,97.86,294.09,0.01,44.13,126.52,57.32,37041.72270386492,17625.375464518493,34089.42907143247,6,True,True,True,True
214,770.11,6,12.55,6,114.81,1,0.01,145.38,53.01,0.01,111.49,246.69,51.26,95015.67220339604,18696.13181787637,35603.71387497529,5,True,True,True,True
