scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
17,1060.57,1,39.28,2,58.65,1,0.01,779.49,2020.58,0.01,259.26,1120.18,1001.22,12.615965992390063,19.659999267624976,20203.706040924833,4289.373076900877,25982.71350864615,6389.689097981699,100,False,False,False,False
14,1047.88,6,46.89,3,110.31,1,0.01,1200.51,2285.11,0.01,961.3,2360.73,320.09,164.31702075980382,187.0003875202832,18836.829469226108,4312.256584514284,17616.752242676936,5379.574968113822,100,False,False,False,False
18,659.38,2,24.74,6,28.69,2,0.01,1051.84,1933.72,0.01,394.23,1270.26,1167.62,12.866635794949218,16.746147393378596,18985.41562164893,2521.222050584802,23347.17298065046,3931.4519638564066,100,False,False,False,False
15,923.47,6,28.08,7,24.71,1,0.01,1145.65,1350.3,0.01,1469.68,2449.29,1303.18,74.3359186620594,68.91366812589224,16503.348252400072,3544.3461886327805,19119.55854884107,5526.071217725917,100,False,False,False,False
16,810.23,7,14.94,4,56.55,1,0.01,1342.04,2632.2,0.01,1251.05,945.68,1116.49,48.2428814473423,51.12190065742512,17226.076343365065,2922.3197302124117,18521.83435040826,4222.41220445934,100,False,False,False,False
13,1078.32,7,52.58,7,47.45,1,0.01,1013.38,486.63,0.01,1480.85,1201.47,1265.21,225.5146327904743,218.83463300546072,20616.723702983454,2617.586955696351,31973.368019221245,4712.50614040518,100,False,False,False,False
19,678.34,3,24.38,8,26.31,1,0.01,1224.02,1837.52,0.01,1394.6,2818.75,790.02,26.45838629557664,31.006052194941468,17745.845161362253,3489.4981264256367,18777.68558750069,4655.1461440187695,100,False,False,False,False
20,552.07,3,16.39,4,74.87,1,0.01,364.7,2965.45,0.01,805.35,2093.25,580.82,40.215774065990104,54.40837485474087,21438.37695866231,3169.197076838097,23261.62961265815,4512.205594103009,100,False,False,False,False
21,1003.01,4,47.26,5,29.36,1,0.01,773.49,763.26,0.01,1091.74,976.93,1086.79,83.92336599416731,86.44793020078889,16373.942966195844,2649.050797429993,24929.680421835023,4762.0077273824345,100,False,False,False,False
