scenario_id,arrival_rate_mean,res_AML_Investigator_amount,res_AML_Investigator_cost,res_Applicant_amount,res_Applicant_cost,res_Appraiser_amount,res_Appraiser_cost,res_Clerk_amount,res_Clerk_cost,res_Loan_Officer_amount,res_Loan_Officer_cost,res_Senior_Officer_amount,res_Senior_Officer_cost,el_node_fb6142cf-431e-49a2-8278-0ab153e033d9_duration,el_node_72f9366b-1a12-44b3-9d62-12151a3c986b_duration,el_node_b7b69815-2300-45c0-b795-b10641e4997f_duration,el_node_e96c5ddd-ce95-4d1c-b20e-4236a5ede724_duration,el_node_4aac3e09-f63b-4091-b1dc-382ae5799d24_duration,el_node_ec71f837-04b3-439c-8f5b-6c03f40ba4a9_duration,el_node_3fd5220c-2503-4b5d-a543-78dbeee830c9_duration,el_node_2dee630f-fe8e-4719-8b0b-546b1310b27d_duration,el_node_4eb5f5ad-92ef-41f7-9814-f2df60a90301_duration,el_node_a9e6f8b0-d94c-42cc-ab3f-ed02e0faa62e_duration,el_node_a265a23b-82f9-446b-8167-ad6c1655e313_duration,el_node_74bde187-ed90-4355-a7b0-2229bd9210e2_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time
10007,3122.92,10,24.23,1,41.39,5,39.77,7,17.34,15,34.9,1,47.88,178.89,3839.41,1440.3,751.26,358.65,91.41,133.54,3082.46,561.23,478.84,837.58,371.19,61.2289,0.4854111971339663,116130.35298966322,5322.64796001635,111310.57701311981,5350.099865505946
10004,3166.39,4,27.3,5,23.25,15,18.03,5,23.26,11,28.16,9,41.32,147.96,3278.47,2231.34,1874.32,523.92,165.46,269.03,3559.68,883.16,561.76,831.88,1690.07,57.3666,0.7104362296248948,125555.23475549062,3548.473559006775,120633.9804782861,3662.3024204978915
